City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Luderitz,NA,-26.6481,15.1594,65.12,62,0,21.43,clear sky
1,Rikitea,PF,-23.1203,-134.9692,75.99,54,99,15.86,overcast clouds
2,Barrow,US,71.2906,-156.7887,-11.18,77,0,19.57,clear sky
3,Longyearbyen,SJ,78.2186,15.6401,1.24,60,20,8.05,few clouds
4,Melfort,CA,52.8667,-104.6177,26.73,80,100,17.69,overcast clouds
5,Grindavik,IS,63.8424,-22.4338,46.35,81,40,12.66,scattered clouds
6,Kosa,RU,59.9445,54.9977,9.63,97,47,1.03,scattered clouds
7,Busselton,AU,-33.65,115.3333,69.57,82,100,6.96,overcast clouds
8,Leningradskiy,RU,69.3833,178.4167,-0.33,96,100,5.79,overcast clouds
9,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,75,57,9.93,broken clouds
10,Ambulu,ID,-8.345,113.6058,76.1,90,98,2.73,overcast clouds
11,Tucumcari,US,35.1717,-103.725,69.64,26,40,27.63,scattered clouds
12,Punta Arenas,CL,-53.15,-70.9167,48.31,61,75,23.02,broken clouds
13,Gidam,IN,18.9833,81.4,77.85,53,5,3.22,clear sky
14,Saskylakh,RU,71.9167,114.0833,0.99,98,97,5.97,overcast clouds
15,New Norfolk,AU,-42.7826,147.0587,53.92,73,100,1.01,overcast clouds
16,Clyde River,CA,70.4692,-68.5914,12.43,85,100,2.3,overcast clouds
17,Albany,US,42.6001,-73.9662,48.02,71,96,1.01,light rain
18,East London,ZA,-33.0153,27.9116,63.54,100,100,3.44,light rain
19,Ostrovnoy,RU,68.0531,39.5131,10.6,95,87,10.07,overcast clouds
20,Lompoc,US,34.6391,-120.4579,69.01,76,20,4.0,few clouds
21,Ushuaia,AR,-54.8,-68.3,46.02,81,75,19.57,broken clouds
22,Goedereede,NL,51.8175,3.9806,41.0,58,100,11.01,overcast clouds
23,Cherskiy,RU,68.75,161.3,-31.02,100,100,3.76,overcast clouds
24,Riyadh,SA,24.6877,46.7219,82.54,12,0,6.91,clear sky
25,Carnarvon,AU,-24.8667,113.6333,75.27,94,9,8.05,clear sky
26,Freeport,US,40.6576,-73.5832,58.96,44,75,23.02,broken clouds
27,Chumikan,RU,54.7183,135.315,11.77,88,94,12.3,overcast clouds
28,Anadyr,RU,64.75,177.4833,28.9,74,40,8.95,light snow
29,Vao,NC,-22.6667,167.4833,79.21,88,15,15.61,few clouds
30,Atuona,PF,-9.8,-139.0333,78.53,76,12,7.67,few clouds
31,Qaanaaq,GL,77.484,-69.3632,18.64,94,100,4.99,overcast clouds
32,Gondanglegi,ID,-7.7479,112.0132,75.34,89,100,4.61,overcast clouds
33,Saint-Joseph,RE,-21.3667,55.6167,71.98,90,100,18.39,moderate rain
34,Asosa,ET,10.0667,34.5333,78.98,29,62,0.76,broken clouds
35,Lagoa,PT,39.05,-27.9833,58.98,86,100,16.17,overcast clouds
36,Turan,VN,16.0678,108.2208,69.78,94,100,8.05,overcast clouds
37,Hobart,AU,-42.8794,147.3294,54.27,91,100,10.36,light intensity drizzle
38,Agbor,NG,6.2518,6.1934,78.98,82,100,6.31,overcast clouds
39,Ponta Do Sol,PT,32.6667,-17.1,66.0,81,100,2.15,overcast clouds
40,Ust-Kut,RU,56.7938,105.7672,37.67,86,100,15.43,overcast clouds
41,Bluff,NZ,-46.6,168.3333,53.02,77,62,13.4,broken clouds
42,Gat,IL,31.61,34.7642,76.41,46,100,1.97,overcast clouds
43,Salalah,OM,17.0151,54.0924,80.69,69,0,2.3,clear sky
44,Khatanga,RU,71.9667,102.5,-0.71,98,97,3.67,overcast clouds
45,Mundo Nuevo,MX,18.7,-95.5,79.9,74,37,12.3,scattered clouds
46,Jamestown,US,42.097,-79.2353,34.52,71,100,21.85,mist
47,Manggar,ID,-2.8833,108.2667,80.11,79,100,2.13,overcast clouds
48,Saint-Augustin,CA,51.226,-58.6502,32.86,99,100,15.26,overcast clouds
