City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,75.99,overcast clouds,-23.1203,-134.9692,People ThankYou
9,Sao Joao Da Barra,BR,80.69,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
10,Ambulu,ID,76.1,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
13,Gidam,IN,77.85,clear sky,18.9833,81.4,Dhanshree Lodge And DormItory
24,Riyadh,SA,82.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
25,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
29,Vao,NC,79.21,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
30,Atuona,PF,78.53,few clouds,-9.8,-139.0333,Villa Enata
32,Gondanglegi,ID,75.34,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
33,Saint-Joseph,RE,71.98,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
34,Asosa,ET,78.98,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
38,Agbor,NG,78.98,overcast clouds,6.2518,6.1934,MIRAMAS HOTEL
42,Gat,IL,76.41,overcast clouds,31.61,34.7642,OlusHome
43,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
45,Mundo Nuevo,MX,79.9,scattered clouds,18.7,-95.5,
47,Manggar,ID,80.11,overcast clouds,-2.8833,108.2667,Guest Hotel
49,Hilo,US,78.53,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
50,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
53,San Clemente,US,70.27,clear sky,33.427,-117.612,Casablanca Inn
54,Arraial Do Cabo,BR,78.76,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
60,Puerto Ayora,EC,84.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
64,Muli,MV,83.66,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
68,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
74,Enterprise,US,75.24,few clouds,36.0252,-115.2419,Las Vegas Motorcoach Resort
77,Tarakan,ID,79.66,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
87,Phan Thiet,VN,76.91,overcast clouds,10.9333,108.1,Hotel Saigon-PT
88,Gerash,IR,71.74,clear sky,27.6652,54.1371,Sa'adat House Gerash
90,Tura,IN,70.59,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
