City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hilo,US,2022-03-29 02:13:09,19.7297,-155.09,78.53,72,100,10.36
1,Tete,MZ,2022-03-29 02:21:50,-16.1564,33.5867,73.49,100,75,4.61
2,Kurilsk,RU,2022-03-29 02:21:50,45.2333,147.8833,33.42,73,8,13.87
3,Ribeira Grande,PT,2022-03-29 02:21:31,38.5167,-28.7,60.31,85,99,5.7
4,Sao Filipe,CV,2022-03-29 02:21:50,14.8961,-24.4956,70.9,75,0,13.2
5,Nouakchott,MR,2022-03-29 02:21:51,18.0858,-15.9785,66.13,81,97,16.64
6,Florida,US,2022-03-29 02:20:17,28.7505,-82.5001,64.9,92,0,0.0
7,Lompoc,US,2022-03-29 02:20:14,34.6391,-120.4579,56.12,94,100,1.01
8,Lodja,CD,2022-03-29 02:21:51,-3.4833,23.4333,68.31,99,100,2.13
9,Banda Aceh,ID,2022-03-29 02:21:52,5.5577,95.3222,82.44,72,6,1.74
10,Melo,UY,2022-03-29 02:21:52,-32.3667,-54.1833,60.58,72,2,8.03
11,Upernavik,GL,2022-03-29 02:21:52,72.7868,-56.1549,20.97,68,100,6.15
12,Bambous Virieux,MU,2022-03-29 02:21:53,-20.3428,57.7575,74.21,94,20,5.75
13,Busselton,AU,2022-03-29 02:19:07,-33.65,115.3333,71.78,63,95,17.74
14,Barrow,US,2022-03-29 02:17:54,71.2906,-156.7887,1.42,66,0,24.16
15,Tiruchchendur,IN,2022-03-29 02:21:53,8.4833,78.1167,82.69,75,4,10.69
16,Takoradi,GH,2022-03-29 02:21:53,4.8845,-1.7554,80.51,89,59,7.43
17,Narsaq,GL,2022-03-29 02:21:32,60.9167,-46.05,23.52,75,11,5.41
18,Ola,RU,2022-03-29 02:21:54,59.5833,151.2833,25.14,56,100,12.82
19,Yerbogachen,RU,2022-03-29 02:21:54,61.2767,108.0108,16.23,91,99,7.31
20,Chengzihe,CN,2022-03-29 02:21:54,45.3333,131.0667,49.64,35,100,18.77
21,Lebu,CL,2022-03-29 02:21:55,-37.6167,-73.65,56.66,91,92,8.03
22,Ushuaia,AR,2022-03-29 02:13:14,-54.8,-68.3,42.46,75,100,10.36
23,Touros,BR,2022-03-29 02:20:53,-5.1989,-35.4608,79.57,81,90,9.93
24,Nome,US,2022-03-29 02:19:03,64.5011,-165.4064,26.67,74,0,14.97
25,Arona,ES,2022-03-29 02:21:55,28.0996,-16.681,59.83,72,20,1.14
26,Punta Arenas,CL,2022-03-29 02:19:00,-53.15,-70.9167,37.51,81,0,12.66
27,Chatellerault,FR,2022-03-29 02:21:56,46.8,0.5333,49.55,47,100,6.98
28,Rikitea,PF,2022-03-29 02:17:57,-23.1203,-134.9692,78.37,67,80,2.48
29,Saint-Philippe,RE,2022-03-29 02:21:56,-21.3585,55.7679,76.59,80,23,4.92
30,Hami,CN,2022-03-29 02:20:10,42.8,93.45,47.88,31,4,6.13
31,Kapaa,US,2022-03-29 02:19:09,22.0752,-159.319,79.2,72,20,6.91
32,San Cristobal,VE,2022-03-29 02:21:56,7.7669,-72.225,69.98,81,100,2.46
33,Acapulco,MX,2022-03-29 02:21:57,16.8634,-99.8901,76.82,73,0,6.91
34,Victoria,HK,2022-03-29 02:16:07,22.2855,114.1577,70.03,76,97,11.01
35,Stonewall,CA,2022-03-29 02:21:57,50.1344,-97.3268,31.78,81,100,12.86
36,Airai,TL,2022-03-29 02:21:57,-8.9266,125.4092,72.77,62,69,1.23
37,Butaritari,KI,2022-03-29 02:21:33,3.0707,172.7902,80.55,74,20,10.4
38,Albany,US,2022-03-29 02:17:44,42.6001,-73.9662,19.17,55,91,3.0
39,Guerrero Negro,MX,2022-03-29 02:18:27,27.9769,-114.0611,64.35,68,99,9.44
40,Bethel,US,2022-03-29 02:18:58,41.3712,-73.414,23.36,51,75,14.97
41,Antofagasta,CL,2022-03-29 02:20:50,-23.65,-70.4,63.68,83,60,4.79
42,Saskylakh,RU,2022-03-29 02:17:54,71.9167,114.0833,0.19,92,100,12.46
43,Mehamn,NO,2022-03-29 02:21:58,71.0357,27.8492,27.72,85,100,27.36
